province,CGI,DP,SP,AS
Zeeland,0.5042598527455159,0.3352131134248606,0.6157933611755013,0.5650839075372168
Overijssel,0.4823196730229869,0.4793465529850127,0.3700865378485116,0.6018997129243174
Drenthe,0.4771437839999945,0.37418611417678427,0.41262721410007414,0.6500468948738123
Fryslân,0.4753537697082983,0.40831279134436776,0.48773574823602506,0.5332832973202571
Gelderland,0.4672459955901102,0.4653103131579192,0.3528281011446021,0.5881553210729734
Noord-Holland,0.4647126283659496,0.48626009453997104,0.44184096742361656,0.4676028471898829
Zuid-Holland,0.46232240980818784,0.5042622338445865,0.26944724913983603,0.6184948331235105
Utrecht,0.46064869167623723,0.5164424631954494,0.32768150419616665,0.5411575526151905
Noord-Brabant,0.45649432063069895,0.4633722332089668,0.3237529435563875,0.587084203167413
Flevoland,0.44252253398686653,0.6956680354919079,0.2873764057740228,0.34308656578220037
Limburg,0.4403731026759883,0.3676981435812937,0.45790393701630094,0.49837696970736184
Groningen,0.42199358526836145,0.441909849738995,0.17360043531360092,0.6576004765227574
