specialism,phi
Audiology,1.0121702055497814
Cardiology,24.930240569479487
Cardiothoracic Surgery,0.6373748557093397
Clinical Genetics,0.7418104448441468
Dermatology & Allergology,18.328298477803852
ENT,14.715442962332919
Gastroenterology & Hepatology,11.206105784900247
General & Trauma Surgery,25.068013842933482
Geriatrics & Elderly Care,2.7184865578912807
Gynecology & Obstetrics,16.48255995878803
Internal Medicine,35.55653443962859
Neurology & Neurosurgery,16.53515448148437
Oncology & Radiotherapy,1.7232854976275187
Ophthalmology,21.919713248893128
Orthopedics,14.903069950027273
Pain Management & Anaesthesiology,4.419332162621263
Pediatrics,10.255555197657422
Plastic & Reconstructive Surgery,4.821448491551552
Psychiatry & Mental Health,1.508288342270507
Pulmonology,13.254900765412964
Radiology & Interventional Radiology,0.18677525453328198
Rehabilitation Medicine,4.043701459103615
Rheumatology,5.969453756808823
Sports Medicine & Other,0.7279370220089553
Urology,11.52979714507623
