province,category,CGI,DP,SP,AS,CGI_lo90,CGI_hi90,n_pillars_cgi,incomplete
Flevoland,Geriatrics & Elderly Care,0.7383004080178995,0.6896952727086818,0.7166262117216187,0.8085797396233981,0.7735197348231738,1.688663137636244,3,FALSE
Overijssel,Ophthalmology,0.6980570570138734,0.537883333199901,0.7530436498909561,0.8032441879507631,0.6523192540418052,1.4059405696451095,3,FALSE
Zuid-Holland,Internal Medicine,0.6881058544150412,0.6627635744232533,0.6692853151860203,0.7322686736358501,0.7239509345055157,1.497074317103961,3,FALSE
Gelderland,Internal Medicine,0.6734669512778865,0.6268190963386868,0.698143129186211,0.6954386283087614,0.6888453607616175,1.3931846098140974,3,FALSE
Utrecht,Internal Medicine,0.6601166335495275,0.6749334630195695,0.6674680728326962,0.6379483647963172,0.6947629686660406,1.6442426196521003,3,FALSE
Groningen,Ophthalmology,0.6589752916933169,0.5011447952473603,0.6666666666666666,0.8091144131659238,0.6149123132046745,1.2109497583079394,3,FALSE
Groningen,Internal Medicine,0.6573558884235341,0.6047141184866378,0.6666666666666666,0.700686880117298,0.6628569820472926,1.199561833400649,3,FALSE
Noord-Brabant,Internal Medicine,0.6524899266176435,0.6240019003590165,0.7301506482147846,0.6033172312791293,0.64769974767167,1.4757840489421317,3,FALSE
Noord-Brabant,Cardiology,0.6455586699372967,0.5643605000792019,0.7301506482147846,0.642164861517904,0.6348307257992598,1.4661135919146255,3,FALSE
Drenthe,Internal Medicine,0.6447015052041154,0.5362181436658945,0.7588967730240608,0.6389895989223909,0.6146328619516156,1.389214862720465,3,FALSE
Overijssel,Internal Medicine,0.639995319358685,0.6396925852817182,0.7530436498909561,0.5272497229033807,0.6024469314562106,1.3597568356593017,3,FALSE
Flevoland,Cardiothoracic Surgery,0.635376006352947,0.5541258009842753,0.7166262117216187,NA,0.9411392854785394,1.4892884790363132,2,TRUE
Flevoland,Urology,0.6327371962593339,0.6530620257561673,0.7166262117216188,0.5285233513002155,0.6159592526162535,1.6072830018592152,3,FALSE
Flevoland,Oncology & Radiotherapy,0.6319743538017608,0.5473224958819028,0.7166262117216188,NA,0.9387317017458178,1.4702741452058379,2,TRUE
Flevoland,Audiology,0.6287448121760926,0.5408634126305666,0.7166262117216187,NA,0.9006620107786567,1.47125455628386,2,TRUE
Noord-Holland,Internal Medicine,0.6245671314749756,0.6464583480737389,0.6926466340787796,0.5345964122724082,0.6061078184007923,1.2904322848737722,3,FALSE
Gelderland,Cardiology,0.6211218877432448,0.5694829260486016,0.698143129186211,0.595739607994922,0.6075923777867839,1.3649166874755914,3,FALSE
Zuid-Holland,Cardiology,0.6193437543133599,0.5996622225155432,0.6692853151860202,0.5890837252385159,0.625968739576857,1.488439200516355,3,FALSE
Utrecht,Cardiology,0.6117898627166339,0.6141920151479142,0.6674680728326962,0.5537095001692913,0.6203668364103776,1.6028490296295521,3,FALSE
Flevoland,Clinical Genetics,0.6108503022738327,0.5050743928260467,0.7166262117216188,NA,0.882986738933472,1.4583965542002748,2,TRUE
Flevoland,Rehabilitation Medicine,0.6080449501127635,0.5683989092847325,0.7166262117216187,0.5391097293319391,0.5893324406029101,1.6546922695004416,3,FALSE
Fryslân,Cardiology,0.603399078760567,0.5113212662860728,0.75811648685844,0.5407594831371879,0.5476992300540043,1.1710341319570055,3,FALSE
Groningen,Cardiology,0.6017768066031977,0.5422848174558963,0.6666666666666666,0.59637893568703,0.5874596697813806,1.1793371373855113,3,FALSE
Flevoland,Radiology & Interventional Radiology,0.6014851785138212,0.5166996568656315,0.7166262117216187,0.5711296669542133,0.5782596852093518,1.6264903795812038,3,FALSE
Zuid-Holland,Ophthalmology,0.5998517108566904,0.5597376199174019,0.6692853151860203,0.570532197466649,0.5922604363645967,1.4638632581808049,3,FALSE
Zuid-Holland,Neurology & Neurosurgery,0.5993796379654049,0.5045434414017801,0.6692853151860203,0.6243101573084148,0.5886803700642442,1.4752012005323618,3,FALSE
Noord-Brabant,Ophthalmology,0.5936653326163507,0.5224868727457599,0.7301506482147847,0.5283584768885078,0.5581868481531604,1.435878126141062,3,FALSE
Noord-Holland,Ophthalmology,0.5935522884373625,0.5464136535798202,0.6926466340787796,0.5415965776534877,0.5714794611247069,1.2843536587508033,3,FALSE
